country,location,latitude,longitude,project_type,sub_class,rock_formation,rock_strat,rock_fr_dens_min,rock_fr_dens_max,rockDensMin,rock_dens_max,rock_poro_min,rock_poro_max,rock_poro_mean,rock_perm_min,rock_perm_max,rock_perm_mean,rock_E_min,rock_E_max,rock_E_mean,rock_nu_min,rock_nu_max,rock_nu_mean,rock_K_min,rock_K_max,rock_G_min,rock_G_min,rock_biot_min,rock_biot_max,rock_phi_min,rock_phi_max,rock_c_min,rock_c_max,rock_ucs_min,rock_ucs_max,rock_T0_min,rock_T0_max,rock_lambda_min,rock_lambda_max,rock_beta_min,rock_beta_max,site_depth_bas_min,site_depth_bas_max,site_s_reg,site_sv_a,site_sv_b,site_sv_min,site_sv_max,site_shmax_a,site_shmax_b,site_shmax_min,site_shmax_max,site_shmin_a,site_shmin_b,site_shmin_min,site_shmin_max,site_shmax_dir_min,site_shmax_dir_max,site_p_a,site_p_b,site_p_min,site_p_max,site_T_min,site_T_max,fault_strike_min,fault_strike_max,fault_dip_min,fault_dip_max,fault_dip_dir_min,fault_dip_dir_max,fault_name,fault_type,fault_thick_min,fault_thick_max,fault_core_thick_min,fault_core_thick_max,fault_dist_inj,fault_inj_depth_min,fault_inj_depth_max,fault_dens_min,fault_dens_max,fault_poro_min,fault_poro_max,fault_perm_min,fault_perm_max,fault_Kn_min,fault_Kn_max,fault_Ks_min,fault_Ks_max,fault_psi_min,fault_psi_max,fault_E_min,fault_E_max,fault_nu_min,fault_nu_max,fault_phi_min,fault_phi_max,inj_depth_min,inj_depth_max,inj_type,int_start,inj_fluid,inj_T,inj_rate_max,inj_vol_min,inj_vol_max,inj_net_vol_min,inj_net_vol_max,inj_up_p,inj_down_p,seism_onset,seism_time_shift_onset,seism_events,seism_depth_min,seism_depth_max,seism_a_before,seism_b_before,seism_a_during,seism_b_during,seism_a_after,seism_b_after,moment_max,moment_max_type,,moment_max_depth_min,moment_max_depth_max,moment_distance,moment_date,reason,comment,data_sources,projectID
Germany,"GeneSys, Hannover",52.903,10.328,Geothermal energy,EGS (injection),Solling formation (Buntsandstone),Sandstone,,,2670,2710,,,0.07,1.00E-18,,1.00E-18,52,59,55.5,0.22,0.27,0.25,38,42.75,22,23.23,,,,,,,,,,,,,,,5000,,NF,,,,,,,,,,,,,NS,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3664,3926.5,Demonstration well - hydraulic fracturing,9/1/2003,Water,60,5.00E-02,,,2.00E+04,,46,,,,11,,,,,,,,,0,ML,,,,,,,well production was stopped because of the formatin of a salt plug after 6 months,"Buijze et al. (2019), Orzol et al. (2005), Rioseco et al. (2013), Tischner et al. (2013)",27
Germany,Groẞ-Schönebeck,52.904,13.602,Geothermal energy,EGS (injection),Rotliegend sandstone,Sandstone and Volcanic,,,2650,,0.13,,0.13,1.30E-15,,1.30E-15,55,,55,0.2,,0.2,30.56,,22.92,,0.6,,,,,,,,,,,,,,,,NF/SS,0.0248,0,101.84,,0.0254,0,104.02,,0.0174,0,71.18,,N18E,,0.0105,0,43.21,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100,,Stimulation,1/1/2007,Water,30,1.50E-01,1.30E+04,,,,59,,,,"70, -1.9≤ML≤-1.1",,,,,,4.14,,,-1,Mw,,,,,1/1/2007,,,"Blocher et al. (2018), Breede et al. (2013), Buijze et al. (2019), Evans et al. (2012), Jacquey et al. (2016), Moeck et al. (2009), Mignan (2021), Zang et al. (2014)",28
Germany,Insheim,49.154,8.154,Geothermal energy,EGS (injection),Porphyritic granite,Granite and Sandstone,,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SS/NF,,,,,,,,,,,,,NS,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3800,Stimulation,4/1/2010,,45,,,,9.00E+03,,9,,,,">600, -0.5≤ML≤2.7 (joint with Landau)",3500,5000,,,,,,,2.4,ML,,,,,4/1/2010,,Earthquake after shut-in,"Breede et al. (2013), Groos et al. (2013), Schindler et al. (2010), Vidal and Genter (2018)",29
Germany,Insheim,49.154,8.154,Geothermal energy,EGS (circulation),Porphyritic granite,Granite and Sandstone,,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SS/NF,,,,,,,,,,,,,NS,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3800,Circulation,4/1/2010,,45,,,,0.00E+00,,1.2,,,,">600, -0.5≤ML≤2.7 (joint with Landau)",3500,5000,,,,,,,2.1,ML,,,,,12/1/2012,,Earthquake after shut-in,"Breede et al. (2013), Groos et al. (2013), Schindler et al. (2010), Vidal and Genter (2018)",30
Germany,Landau,49.187,8.123,Geothermal energy,EGS (circulation),Porphyritic granite,"Granite, Sandstone and Carbonate",,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NNW-SSE,,,,,,160,170,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,Circulation,1/1/2007,,,7.00E-02,,,0.00E+00,,6,,2/1/2008,,">600, -0.5≤ML≤2.7 (joint with Insheim)",,,,,,,,,2.7,ML,,2300,3300,1750,8/15/2009,,"Max M occured either in the sedimentary layers or basement or both, occured short while after circulation was ceased for maintenance, after 1.5 years from injection","Evans et al. (2012), Groos et al. (2013), Küperkoch et al. (2018), Schindler et al. (2010), Vidal and Genter (2018)",31
Germany,Unterhaching,48.057,11.597,Geothermal energy,EGS (circulation),Malm limestone,karstic limestone,,,2620,2670,0.05,0.12,0.08,1.30E-14,3.90E-14,2.60E-14,20.7,26.1,23.4,0.22,0.26,0.24,12.32,18.13,8.48,10.36,,,,,,,74.9,81.9,7.5,8.5,,,8.00E-05,1.10E-04,3630,3860,SS,0.026,-7,80.1,86.6,0.0266,0,89.11,95.76,0.0147,0,49.25,52.92,N,,0.009,0,30.15,32.4,123,134,N29E,N35E,,90,,,,,,,,,,,,,,,,,1.00E-14,,,,,,,,,,,,,3350,3600,,10/1/2007,Water,110,1.20E-01,,,,,2.5,,2/1/2008,,"136, with -0.8<ML<2.4 from 2008 to 2012",2100,5100,,,,0.9,,,2.4,ML,,,4000,700,7/3/2008,,"The borehole crosses the main fault, but the hypocenter is located some hundreds of meters below the borehole. ML2.3 occured in Feb. 2008 shortly after starting the project. Earthquakes with local magnitudes of 2.1 and 1.9 were also detected on 21 and 23 July respectively.","Evans et al. (2012), Gaucher et al. (2015), Hedtmann and Alber (2017), Megies and Wassermann (2014), Pei et al. (2018), Rojas et al. (2017),  Sisi et al. (2017), Wolfgramm et al. (2007), ",32
Iceland,Hellisheiði (Húsmúli reinjection site),64.037,-21.394,Geothermal energy,Geothermal (reinjection),,Basalt,,18.6,,2700,,,0.1,,,3.00E-14,,25,25,0.25,,0.25,,8.33,,12.5,,1,22,46,30,,155,155,,,,2.1,2.00E-05,6.00E-05,,,SS-N,0.0295,0,22.42,66.38,0.0735,0,55.86,165.38,0.021,0,15.96,47.25,N16.6E,N36.6E,0.0091,0,6.92,20.48,,235,N8E,,72,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,760,2250,,9/1/2011,,70,5.50E-01,,,,,2.8,,9/1/2011,0,4600,1500,2500,,,,,,,4,ML,,1500,2500,,10/15/2011,"Induced seismicity observed in Hellisheiði is found to be highly temperature dependent. Thermal stressing is significantly promoted by cooling-induced fracture permeability enhancement, controlling the stability conditions of the fractures. The spatial and temporal evolution of the sesimic events can only be numerically reproduced by considering a significant contribution of thermal permeability enhancement. Calibration of numerical models against field injectivity data shows that injectivity is governed by the injected fluid temperature. The colder the injected fluid, the higher the injectivity.","Hypocentres of the majority of induced earthquakes are below the injection layer and within the basaltic basement. So, changes in lithology may control the fault strength or seismic/aseismic slip tendency","Batir et al. (2012), Flóvenz et al. (2015), Juncu et al. (2017), Juncu et al. (2020), Cao et al. (2022)",33
Iceland,Hellisheiði (Well HE-8),64.037,-21.401,Geothermal energy,Geothermal (drilling and stimulation),,Basalt,,18.6,,2700,,,0.1,3.00E-15,6.00E-15,4.50E-15,,25,25,0.25,,0.25,,8.33,,12.5,,1,22,46,30,,55,155,,,,2.1,2.00E-05,6.00E-05,,,SS-N,0.0295,0,73.75,73.75,0.0735,0,183.75,183.75,0.021,0,52.5,52.5,N16.6E,N36.6E,0.0091,0,22.75,22.75,,300,NNE,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,,1/1/2003,,,6.00E-02,,,,,,,,0,,4000,6000,,,,,,,2.4,ML,,,7000,,7/29/2003,,,"Bjornsson (2004), Evans et al. (2012), Juncu et al. (2017), Juncu et al. (2020), Cao et al. (2022)",34
Iceland,Hellisheiði(Gráuhnjúkar reinjection site),64.02,-21.429,Geothermal energy,Geothermal (reinjection),,Basalt,,18.6,,2700,,,0.1,,,3.00E-14,,25,25,0.25,,0.25,,8.33,,12.5,,1,22,46,30,,55,155,,,,2.1,2.00E-05,6.00E-05,,,SS-N,0.0295,0,23.6,,0.0735,0,58.8,,0.021,0,16.8,,N16.6E,N36.6E,0.0091,0,7.28,,,,NNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,1/1/2006,,,3.50E-01,,,,,,,,,,,,,,,,,,2,ML,,,,,1/1/2006,,,"Flóvenz et al. (2015), Cao et al. (2022)",35
Iceland,Krafla,65.703,-16.773,Geothermal energy,Geothermal (reinjection),,Basalt,,,,,0.1,0.6,0.35,1.93E-16,2.53E-13,1.27E-13,9.1,50,29.55,0.18,0.2,0.19,4.74,27.78,3.86,20.83,,,,,,,5,105,1.5,22,,,6.09E-06,,,,NF,,,50,70,,,,,,,,,,,,,30,50,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2100,Circulation,1/1/2002,,,7.00E-02,,,,,0.3,,,,,1000,3000,,,,,,,2.2,ML,,,,,8/1/2004,Thermal effects may be important,,"Eggertsson et al. (2019), Eggertsson et al. (2020), Evans et al. (2012), Flóvenz et al. (2015), Heap et al. (2020)",36
Iceland,"Laugaland (Eyjafjördur), North IS ",,,Geothermal energy,Geothermal (reinjection),,Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,1875,Re-injection (pressure recovery),1/1/1997,,20,2.10E-02,,,,,2.8,,,,0,,,,,,,,,0,,,,,,,Reason for no seismic event: large pressure decline during pressure which is not thoroughly recovered by re-injection,"No event with ML>-1, Seeasonal consumption","Arnórsson (1995), Axelsson et al. (2005), Axelsson et al. (2010), Björnsson et al. (2011), Evans et al. (2012), Flóvenz et al. (2015), Lashin (2005), Zhang (2003), Ziegler et al. (2016)",37
Iceland,"Laugaland (Holtum) and Kaldárholt, South IS",65.584,-18.064,Geothermal energy,Geothermal (reinjection),,Basalt,,,2650,2920,0.06,0.18,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N20E,N45E,,,,,95,,N7E,,70,90,,,,,,,,,,,,,,,,3.00E-14,1.70E-13,,,,,,,,,,,,,,1000,,1/1/2000,,65,4.00E-03,,,,,,,,,Many events each year,5000,10000,,,,,,,6.6,ML,,,,6000,6/17/2000,"Cyclic loading in a long time due to high and low demand to energy during the year, also pressure biuld up due to re-injection","Obvious change in microseismic´s spatial patterns before and after the main earthquake, Seasonal consumption; Seismic events greatly affected reservoir pressure of the adjacent fields","Arnórsson (1995), Axelsson et al. (2005), Axelsson et al. (2010), Björnsson et al. (2011), Evans et al. (2012), Flóvenz et al. (2015), Lashin (2005), Zhang (2003), Ziegler et al. (2016)",38
Iceland,Nesjavellir,64.108,-21.257,Geothermal energy,Geothermal (reinjection),,Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,550,,1/1/2004,,,1.60E-01,,,,,,,,,18 quakes between 2 and 3,,,,,,,,,3.2,ML,,,,,,,,Flóvenz et al. (2015),39
Iceland,Reykjanes,63.826,-22.682,Geothermal energy,Geothermal (extraction and reinjection),,Volcanics,,,2500,2980,,,,,,,17,82,49.5,,,,5.67,27.33,8.5,41,,,,,,,10,414,2.1,13.4,,,,,,,N,0.028,0,28,,0.007,4.7,11.7,,0.011,2,13,,N20W,N26W,0.0098,0,9.8,,290,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,1/1/2009,,,7.90E-02,7.06E+07,,,,,,5/31/2006,,5 swarms of 40-80,,,,,,,,,2,ML,,,,,,Normal faults,Volume for 2005-2008. Annual average injection. The largest quake magnitude is 3 ML in 2006 due to production. Injection induced quakes are all smaller than 2,"Arnórsson (1995), Haimson and Voight (1977), Hofmann et al. (2021), Keilegavlen et al. (2021), Peter-Borie et al. (2018),  Taherynia et al, (2016), ",40
Iceland,Svartsengi (Central part),63.879,-22.433,Geothermal energy,Geothermal (reinjection),,Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF,,,,,,,,,,,,,,,,,,,240,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,2000,Re-injection (pressure recovery),1/1/1984,,75,5.50E-02,2.00E+05,,,,3.4,,,,,,,,,,,,,0,,,,,,,,"No event with ML>-1, Recharge depleted reservoir","Evans et al. (2012), Flóvenz et al. (2015), Juncu et al. (2020), Keiding et al. (2010)",41
Iceland,Svartsengi (Pheriphery),63.87,-22.49,Geothermal energy,Geothermal (reinjection),,Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF,,,,,,,,,,,,,,,,,,,240,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,1200,Re-injection (pressure recovery),1/1/2001,,75,2.44E-01,,,,,,,12/1/2008,,82,4000,5000,,,,,,,3.2,ML,,,,1000,1/1/2009,,"Recharge depleted reservoir, the state of stress and elastic properties can be inferred from th Reykjanes field in the close vicinity","Evans et al. (2012), Flóvenz et al. (2015), Juncu et al. (2020), Keiding et al. (2010)",42
Italy,Latera,42.613,11.815,Geothermal energy,EGS (injection),,Carbonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SS/NF,,,,,,,,,,,,,,,,,,,200,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,2000,injection,3/1/1980,water,,8.30E-02,3.00E+04,,,,9,,,,,,,,,,,,,2.9,ML,,150,1500,200,12/9/1984,,"Field  operational from 1999 to 2003, 14 wells",Evans et al. (2012),43
Japan,Hijiori (SkG-2 circulation),38.606,140.16,Geothermal energy,EGS (circulation),,Granodiorite,,,2700,,0.01,,0.01,1.00E-16,,1.00E-16,60,,60,0.25,,0.25,40,,24,,,,,,,,,,,,,3,,,,,RF,0.0261,0,46.67,47.03,0.0682,0,121.94,122.9,0.0426,0,76.17,76.77,N67E,N140E,0.0088,0,15.73,15.86,270,,,,,,,,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,1788,1802,Circulation,10/19/1989,Water,45,3.30E-02,4.45E+04,,3.15E+04,,7.2,,,,>400,1500,1800,,,,,,,-1,Mw,,,,,,,Well SKG-2 injection and HDR-1 and HDR-2 producers. Maximum magnitude based on scale in figure 6.,"Jing et al. (2000), Kaieda et al. (2010), Oikawa and Yamaguchi. (2000), Sasaki and Kaieda (1998), Tenma et al. (2008)",44
Japan,Hijiori (SKG-2 injection/stimulation),38.606,140.16,Geothermal energy,EGS (injection),,Granodiorite,,,2700,,0.01,,0.01,1.00E-16,,1.00E-16,60,,60,0.25,,0.25,40,,24,,,,,,,,,,,,,3,,,,,RF,0.0261,0,46.67,47.03,0.0682,0,121.94,122.9,0.0426,0,76.17,76.77,N67E,N140E,0.0088,0,15.73,15.86,270,,,,,,,,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,1788,1802,Stimulation,7/19/1988,Water,45,1.03E-01,2.00E+03,,,,16,,,,>100,1650,1900,,,,,,,-1,Mw,,,,,1/1/1988,,Well SKG-2 stimulation,"Jing et al. (2000), Kaieda et al. (2010), Sasaki and Kaieda (1998), Tenma et al. (2008)",45
Japan,Ogachi (OGC-1),38.977,140.517,Geothermal energy,EGS (injection),,Granodiorite,,,,,0.03,0.04,0.03,1.00E-15,3.00E-15,2.00E-15,,54,54,,0.25,0.25,,36,,21.6,,,,,,,,,,,,,,,,,SS/RF,0.025,0,24.75,25,0.035,0,34.65,35,0.022,0,21.78,22,N41E,,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,1000,,1/1/1991,Water ,,1.14E-02,9.20E+03,,,,20,,,,1553,800,1300,,,,,,1.1,2,Mw,,,,,,,Assuming a water density of 1000 kg m-3,"Audigane et al. (2012), Kaieda et al. (2000), Kaieda et al. (2005), Kaieda et al. (2010), McClure and Horne (2014), Shin et al. (2000), Wakahama et al. (2009)",46
Lithuania,Curonian Lagoon,55.44,21.49,Geothermal energy,Geothermal (extraction),Lower Viesville formation,Sandstone,,,,,0.2,0.3,0.25,2.00E-13,6.20E-12,3.20E-12,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,1228,Circulation,1/1/1996,water,,1.67E-01,,,,,,,,,,,,,,,,,,2.6,ML,,,1000,,6/12/2012,,Demonstation site,"Evans et al. (2012), Nikulin and Assinovskaya (2018)",47
Mexico,Cerro Prieto (Imperial Valley),32.413,-115.244,Geothermal energy,Geothermal (extraction),,Metamorphosed sandstones and shales intruded by dykes, ,,,,0.04,0.35,0.2,1.00E-15,2.00E-14,1.05E-14,,,,0.25,0.35,0.3,,,,,,,,,,,,,,,1.99,4.64,,,,,SS,,,,,,,,,,,,,N5E,,,,,,250,350,NW-SE,,45,,,,Cerro Prieto and Imperial faults,NF,,,,,,,,,,,,1.00E-14,1.00E-13,,,,,,,,,,,,,1500,3000,,1/1/1979,,,3.17E+00,1.00E+09,,,,,,,,,,,,,,,,,6.6,ML,,,10000,,10/15/1979,,"Occurence of subsidence (poroelasti effect at this site, 5-7 cm/year), Multiple high magnitude earthquakes occured there","Martinez-Baez (1980), Somerton (1980), Zúñiga et al. (1995), Glowacka and Nava (1996), Glowacka et al. (2005), Glowacka et al. (2010), Trugman et al. (2014), Prol-Ledesma et al. (2016), García-Sánchez et al. (2017)",48
Mexico,Los Humeros,19.646,-97.438,Geothermal energy,EGS (circulation),,Basalt and Andesite,,,2540,,,,,,,,30,,30,0.24,,0.24,19.23,,12.1,,,,,,,,,,,,,,2.10E-05,,,,RF,,,,,,,,,,,,,N60W,,,,,,300,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,3250,,1/1/1990,,,3.67E-02,,,,,,,,,,850,5000,,,,,,,4.6,Md,,,,,11/25/1994,,"Two sets of faults have been detected in the field (Urban 2013), Production rate from figure 10 for well P1, injection rate from figure 9 for well I29","Arzate et al. (2018), Kruszewski et al. (2019), Norini et al. (2019), Rodríguez (2000), Urban and Lermo (2013)",49
New Zealand,Mokai,-38.532,175.928,Geothermal energy,Geothermal (reinjection),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,1/1/2000,,226,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,Sherburn et al. (2015),50
New Zealand,Ngatamariki,-38.546,176.195,Geothermal energy,Geothermal (reinjection),Tahorakuri,Volcaniclastics with andesitic lava,,,2070,2670,0.03,0.2,0.11,3.63E-19,2.43E-16,1.22E-16,17.7,44.3,31,0.19,0.31,0.25,9.52,38.86,7.44,16.91,,,,,,,70,163.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,4/1/2007,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,"Sherburn et al. (2015), Wyering et al. (2014), Wyering et al. (2018)",51
New Zealand,Rotokawa,-38.614,176.184,Geothermal energy,Geothermal (reinjection),,Volcanics (Andesite),,,2330,2560,0.05,0.2,0.13,9.80E-18,1.66E-16,8.79E-17,19.9,43.7,30.6,0.09,0.34,0.2,8.09,45.52,9.13,16.31,,,,,,,,211,9.9,24.1,,,4.84E-06,1.41E-05,2500,,NF ,0.0223,0,22.26,55.65,,,,,0.0134,0,13.44,33.6,N25E,N49E,0.0088,0,8.8,22,225,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,2500,,1/1/2008,,130,5.50E-01,,,0.00E+00,,1,,1/1/2005,,>1500,1500,3000,,,,,,,3.3,,,,,,2/1/2012,,Liquid dominated. Field scale rate. Max magnitude depth: located in the wacke basement,"Davidson et al. (2012), Heap et al. (2020),  Quinao et al. (2013), Sherburn et al. (2015),  Siratovich et al. (2012),  Siratovich et al. (2014), Siratovich et al. (2015), Siratovich et al. (2016), Wyering et al. (2014)",52
South Korea,Pohang (PX-1),36.106,129.378,Geothermal energy,EGS (injection),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/15/2016,,,,,,,,,,,,,,,,,,,,,2.3,ML,,,,,,,,"Ellsworth et al. (2019), Grigoli et al. (2018), Hofmann et al. (2019), Kim et al. (2017), Kim et al. (2017), Kwon et al. (2019), Park et al. (2017), Park et al. (2020), Woo et al. (2019), Yeo et al. (2020)",53
South Korea,Pohang (PX-2),36.107,129.378,Geothermal energy,EGS,,Granodiorite with gabbroic dykes,,,,2630,,0.01,0.01,1.00E-16,6.80E-16,3.90E-16,,33.5,33.5,,0.21,0.21,,19.25,,13.84,,,,60.2,,15.2,,106.7,,9.2,,3,,1.70E-15,,,RF,,,106,110,9.2,10.2,,143,,,88,120,,N130E-N136E,,,,,,140,,N36E,,,,,Yangsan,RF,,,,,1000,,,,,,,,,7.9,23.4,3.2,,,,,,,,26.6,,4300,4300,Stimulation,1/29/2016,,,4.68E-02,1.28E+04,,5.84E+03,6.49E+03,89.2,131.8,,,6 foreshocks and 210 after shocks,3700,6000,,,2.08,0.66,,,5.4,Mw,,4500,4500,670,11/15/2017,Reactivation of Yangsan fault,,"Ellsworth et al. (2019), Grigoli et al. (2018), Hofmann et al. (2019), Kim et al. (2017), Kim et al. (2017), Kwon et al. (2019), Park et al. (2017), Park et al. (2020), Woo et al. (2019), Yeo et al. (2020)",54
Sweden,Fjällbacka,58.6,11.288,Geothermal energy,EGS (injection),Bohus granite,Granite,,,2640,,0.01,,0.01,1.00E-17,,1.00E-17,50,,50,0.15,,0.15,23.81,,21.75,,,,,,,,220,,8.3,,,,,,,,RF,0.026,0,11.7,,0.0287,7.1,20.02,,0.0183,4.3,12.54,,N35W,,,,,,,,N-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,11/1/1986,Gel (viscosity: 0.07 Pa.s),,3.00E-02,3.99E+02,,,,18,,,,"74, -1.3≤ML≤-0.2",440,475,,,,,,,-0.2,ML,,,,,1/1/1989,,,"Evans et al. (2012), Eliasson (1993), Eliasson et al. (1988), Jupe et al. (1992), Wallroth et al. (1999)",55
Switzerland,Basel,47.585,7.596,Geothermal energy,EGS (injection),Palaeozoic granitic basement,Granite,0.25,0.95,,,,0.1,0.1,1.00E-17,1.00E-15,5.05E-16,39,65,52,0.22,,0.22,23.21,21.67,15.98,32.5,0.2,1,44,55.5,18.2,35.5,117.7,167.3,,,,,,1.00E-05,,,SS,0.0249,0,115.26,124.5,0.005,90,113.15,115,0.007,42,74.4,77,N130E,N158E,0.0098,0,45.41,49.05,190,200,,,,,,,,,,,,,,4700,,,,,,,,,,,,,,,,,,,,4629,5000,Stimulation,12/2/2006,Fresh water,30,5.50E-02,1.16E+04,,,,29.6,,12/2/2006,,>10500,4000,5000,2.31,0.9,6.08,1.58,3.32,1.15,3.4,ML,,,4600,,12/8/2006,"Fault reactivation, a complex fault zone rather than a single one",Max earthquake occured during the shut in period; three additional felt earthquakes with ML > 3 occurred 1–2 months after bleed-off. cloud of seismicities is near vertical and in NW-SE direction,"Häring et al. (2008), Bachmann et al. (2011), Klose (2013), Majer et al. (2007), Valley et al. (2009), Terakawa et al. (2012), Deichmann et al. (2014), Kraft and Deichmann (2014), TNO (2014), Andres et al. (2019), Valley and Evans (2019), Ziegler and Evans (2020)",56
Switzerland,St. Gallen,47.416,9.329,Geothermal energy,Geothermal (injection and production),Malm limestone,Carbonate,,,2650,,0.02,0.06,0.04,1.00E-17,5.00E-17,3.00E-17,6,,6,0.25,,0.25,4,,2.4,,0.75,,31,42,20,97,,,,,,,,,,4800,SS,0.0252,0,95.94,107.09,0.0355,0,135.27,151,0.0154,0,58.52,65.33,N148E,N172E,0.0097,0,37,41.3,145,,NE-SW,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3810,4253,,7/14/2013,,30,5.40E-02,7.29E+02,,,,9,,7/17/2013,,>800,3800,4200,,,,0.8,,,3.5,ML,,,,,7/20/2013,,Initially geothermal project but then also natural gas tested,"Bloch (personal communication, 2018, kundendienst@sgsw.ch), Schultz et al. (2022), Moeck et al. (2015), Wolfgramm et al. (2015), Zbinden et al. (2020 a,b)",57
UK,Rosemanowes,50.168,-5.172,Geothermal energy,EGS (circulation),Carnmenellis granite,Granite,,,,,0,,0,1.00E-18,1.00E-17,5.00E-18,50,70,60,0.18,0.22,0.2,26.04,41.67,21.19,28.69,,,,,,,100,170,9,15,,,,,,,SS,0.026,0,52,67.6,0.028,15,71,87.8,0.012,6,30,37.2,N130E,,0.0098,0,19.6,31.2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,2000,2600,Stimulation-Circulation,1/1/1987,Water-gel,,1.00E-01,1.00E+05,,,,16,,,,,2000,3500,,,,,,,2,ML,,,3100,,7/12/1987,,,"Batchelor et al. (1983),  Pine and Batchelor (1984), Pine et al. (1987), Savage et al. (1987), Xie et al. (2015),  Zang et al. (2014)",58
UK,United Downs Deep Geothermal Power Project,50.23,-5.166,Geothermal energy,EGS,Cornubian Batholith,Batholith,,,2700,,0.1,,0.1,1.00E-16,,1.00E-16,25.2,,25.2,0.22,,0.22,15,,10.33,,,,,,3,,,,,,,,,,,,NF,0.0253,0,,,0.026,5.9,,,0.0132,3,,,N135,,,,,,190,,NNW-SSE,,,,,,,,,,,,,,,2700,,0.01,,1.00E-16,,,,,,9,,25.2,,0.22,,28,,2393,5275,,,water,,6.00E-02,,,,,,,,,,,,,,,,,,1.5,ML,,4000,,,9/30/2020,Still in the exploration phase,"https://earthquakes.bgs.ac.uk/induced/recent_uk_events.html, Still in the exploration phase","Gan et al. (2021), Ledingham et al. (2019), Reinecker et al. (2021)",59
United States of America,Coso,36.037,-117.798,Geothermal energy,EGS (stimulation),,"Diorite, Granodiorite and Granite",,,,,,,,,,,65,,65,0.19,,0.19,34.48,,27.5,,,,,,,,,,,,,,,,,,,0.0279,0,51,,0.0456,0,134.79,,0.0175,0,51.73,,,,,,,,,≤340,N20,,75,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2956,,,8/6/2004,,,3.90E-04,,,,,0.41,,,,>20000 (1991-1995),,,,,,,,,2.8,,,,,,8/1/2004,,Rate was 1400 kph (kilos per hour?),"Breede et al. (2013), Davatzes & Hickman (2006), Feng and Lees (1998), Julian et al. (2009), Rose et al. (2004)",60
